               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13338,            0.029727,            0.029815,          0.00036752,             0.01475,          0.00020361,          6.1262e-05,            0.078765,            0.032253,            0.019958,              0.0892,              0.0012,              0.0012
                   1,             0.12068,            0.036122,            0.027172,            0.010281,              0.4152,            0.012225,            0.002383,            0.069304,            0.032534,            0.018488,            0.077496,           0.0024959,           0.0024959
                   2,             0.10358,            0.034368,            0.025805,             0.23109,             0.48707,              0.1982,             0.04422,            0.061057,            0.034996,            0.017761,            0.065787,           0.0037875,           0.0037875
                   3,            0.084567,            0.030846,            0.025042,             0.23486,             0.50608,              0.2284,            0.050695,            0.051724,            0.036138,            0.016528,            0.054075,           0.0050748,           0.0050748
                   4,            0.075675,            0.030402,            0.023952,             0.24054,             0.64043,             0.23821,            0.066414,            0.046055,            0.025765,            0.015021,            0.042358,           0.0063578,           0.0063578
                   5,            0.072301,             0.02814,            0.021858,             0.53868,             0.65848,             0.60278,             0.24925,             0.04449,              0.0221,            0.012384,            0.030636,           0.0076365,           0.0076365
                   6,            0.071362,            0.026697,            0.018719,             0.39503,             0.54159,             0.42682,             0.15897,            0.048929,            0.021382,            0.008316,            0.018911,           0.0089109,           0.0089109
                   7,            0.068945,            0.026369,            0.014171,             0.32622,             0.63257,             0.33698,            0.097729,             0.04936,            0.028911,           0.0095947,           0.0098845,           0.0098845,           0.0098845
                   8,            0.064387,             0.02497,            0.011136,             0.43565,             0.74049,              0.5785,             0.25124,            0.040852,            0.036234,           0.0050888,           0.0098845,           0.0098845,           0.0098845
                   9,            0.059585,             0.02527,            0.011768,             0.41093,              0.7438,             0.60622,             0.28647,            0.037368,              0.0301,           0.0040497,            0.009868,            0.009868,            0.009868
                  10,            0.055308,            0.023911,           0.0079591,             0.55549,               0.763,             0.71765,             0.35728,            0.033619,            0.023538,           0.0023529,           0.0098515,           0.0098515,           0.0098515
